S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,SEX,ANNO,AMP,ZONA,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04
1,4,1,4,2,2,8,2,2,1947,5,2,5,3,1,4,6,1
8,5,3,8,1,1,2,1,2,1976,6,3,8,9,5,3,12,3
12,12,12,12,12,12,12,12,1,1994,2,4,5,13,1,1,5,1
7,7,6,7,3,8,5,6,1,1986,6,4,9,4,1,1,1,1
4,5,7,6,1,1,1,1,1,1990,3,4,5,5,1,1,1,1
4,3,6,4,6,7,8,7,2,1973,6,4,5,13,6,6,9,5
1,1,9,1,11,1,11,1,2,1963,2,2,2,10,9,6,9,12
2,2,9,10,1,1,3,1,1,1961,5,1,4,,,,,
4,8,10,10,1,1,1,1,2,1945,6,1,9,,,,,
3,6,8,7,4,4,7,3,2,1947,5,2,4,6,3,1,5,1
5,5,6,5,1,3,3,4,1,1960,6,2,9,8,1,1,1,1
9,2,4,6,11,10,11,11,1,1971,3,4,2,8,9,8,8,6
7,8,7,7,6,7,7,8,2,1961,4,4,2,4,3,3,2,3
11,9,11,11,1,5,2,2,2,1944,3,4,5,,,,,
7,7,8,6,1,1,5,1,2,1967,2,2,5,,,,,
4,1,1,1,3,1,7,1,1,1965,1,2,2,8,1,7,8,1
8,7,7,8,8,5,5,5,1,1963,6,3,5,5,2,5,4,1
9,9,6,11,12,11,10,11,,.,,,,,,,,
7,10,11,11,1,1,3,1,,.,,,,,,,,
7,6,1,8,1,1,6,1,,.,,,,,,,,
8,9,10,7,4,12,4,8,1,1992,5,3,9,12,1,2,2,1
8,8,11,11,1,1,5,3,1,1937,5,2,5,9,1,9,7,1
9,8,8,10,9,7,7,8,2,1937,2,4,2,3,1,2,5,6
10,10,9,10,1,2,5,1,2,1970,3,4,5,6,1,1,9,1
9,8,1,9,1,1,2,1,1,1970,1,1,2,7,1,2,1,1
7,8,1,8,4,4,4,4,,.,,,,,,,,
9,11,4,10,1,1,1,1,2,1946,1,2,9,,,,,
9,8,11,11,2,1,9,1,1,1949,6,3,4,3,1,1,12,1
6,6,6,7,2,2,7,4,,.,,,,,,,,
1,2,2,1,5,2,9,6,2,1980,3,3,2,12,1,2,1,1
7,4,3,5,2,1,9,1,2,1958,1,1,5,1,1,1,1,1
1,1,5,5,1,1,1,1,1,1942,2,2,4,7,3,3,3,1
8,8,11,10,10,10,10,9,2,1976,6,5,5,11,10,10,8,8
8,4,8,9,2,2,2,4,2,1947,4,3,9,5,1,1,1,1
6,6,7,6,12,12,12,12,2,1984,4,3,10,13,1,1,12,1
1,1,11,1,1,1,3,1,,.,,,,,,,,
8,3,1,7,1,1,1,1,2,1942,4,1,7,5,1,1,1,1
10,11,11,11,12,12,12,12,,.,,,,,,,,
11,11,10,11,8,1,4,2,,.,,,,,,,,
11,11,11,11,1,1,1,1,1,1990,6,1,6,,,,,
3,3,8,2,1,8,8,1,1,1974,2,1,4,9,1,1,11,1
4,2,2,2,1,1,3,4,,.,,,,,,,,
3,3,7,3,1,1,7,1,2,1976,4,1,10,8,1,4,12,1
7,6,7,7,1,3,7,1,,.,,,,,,,,
10,8,9,8,8,8,10,10,,.,,,,,,,,
5,2,6,2,10,10,9,10,1,1953,1,1,4,11,1,7,5,1
2,3,4,1,10,11,11,5,2,1974,4,2,5,4,1,7,8,1
11,11,11,11,1,1,1,10,1,1994,3,1,5,3,1,1,1,1
11,11,1,11,12,1,1,1,2,1946,6,1,5,12,12,6,1,1
12,12,6,1,3,3,6,6,2,1953,3,4,2,7,1,4,7,8
9,9,9,9,1,10,3,1,,.,,,,,,,,
3,5,8,5,1,6,7,1,1,1953,3,2,4,13,1,1,5,1
12,12,12,12,11,11,11,11,,.,,,,,,,,
5,8,3,7,1,1,1,1,1,1976,2,2,10,8,2,1,1,1
11,11,2,11,12,12,12,12,2,1972,6,1,9,,,,,
8,8,9,8,1,1,11,3,,.,,,,,,,,
6,6,11,8,1,1,5,1,1,1937,5,3,9,,,,,
6,11,1,6,3,7,10,2,1,1951,2,1,5,9,7,9,9,1
3,12,10,8,5,1,1,1,,.,,,,,,,,
7,4,9,7,1,2,3,1,1,1969,4,1,10,,,,,
7,11,11,11,1,1,1,1,,.,,,,,,,,
7,9,6,9,4,4,5,4,1,1988,4,4,5,9,1,3,4,1
12,7,12,12,1,3,8,2,2,1981,4,3,9,5,1,2,12,1
8,10,6,10,1,1,2,1,,.,,,,,,,,
1,1,1,1,1,1,1,1,1,1959,3,3,5,3,1,1,1,1
6,6,6,6,8,8,8,9,2,1978,6,3,9,12,7,11,12,11
11,11,11,11,6,6,6,6,2,1971,4,3,5,13,6,6,6,5
6,7,9,11,7,1,1,4,,.,,,,,,,,
11,8,11,11,1,1,1,1,2,1987,4,4,9,4,1,1,12,1
3,1,11,3,6,1,4,1,,.,,,,,,,,
5,4,9,6,1,5,9,2,,.,,,,,,,,
7,4,6,7,4,1,12,2,2,1986,2,1,8,8,1,1,5,1
10,3,10,9,10,10,8,8,1,1985,4,1,9,8,1,1,1,1
8,1,6,7,6,1,6,1,1,1951,2,2,5,4,12,1,11,1
7,4,3,6,2,5,3,3,1,1984,2,1,5,12,1,1,1,1
6,10,1,4,3,2,8,6,,.,,,,,,,,
6,6,8,6,6,6,8,4,2,1967,4,5,4,8,1,6,7,2
4,3,2,2,9,3,1,2,1,1981,5,1,9,6,3,3,5,2
4,1,10,1,9,8,10,2,,.,,,,,,,,
9,8,9,9,2,1,2,3,2,1967,3,3,9,6,1,1,1,1
5,3,1,4,1,1,1,1,2,1947,6,1,9,5,1,1,1,1
7,8,6,6,2,2,11,2,,.,,,,,,,,
6,6,9,1,1,1,8,1,2,1983,4,1,9,10,1,1,1,1
8,7,5,9,3,1,1,1,2,1975,4,1,9,10,1,1,1,1
11,11,11,11,7,7,6,7,1,1972,6,3,9,4,12,5,5,1
3,4,9,3,4,4,7,5,2,1986,3,5,5,13,7,7,9,4
5,6,6,5,3,6,7,3,2,1979,3,2,5,12,7,7,12,3
2,3,4,6,1,1,12,11,2,1955,4,4,5,4,1,3,12,1
6,2,10,9,6,1,5,1,2,1968,6,3,10,8,2,1,3,1
11,2,10,1,7,9,9,9,1,1946,3,2,5,11,1,7,9,5
5,6,6,6,9,5,7,8,1,1979,3,2,5,11,1,1,7,1
1,6,1,11,1,1,1,10,1,1954,6,2,2,,,,,
7,9,8,9,1,1,1,1,2,1947,5,2,9,5,1,1,1,1
6,6,6,6,1,1,2,1,1,1947,2,4,9,3,1,1,1,1
6,6,6,4,3,1,6,7,2,1957,1,1,10,4,1,1,1,5
6,1,6,1,1,1,5,1,,.,,,,,,,,
8,4,11,10,1,1,2,1,1,1968,6,2,9,6,1,1,1,1
12,12,12,12,5,5,12,10,2,1979,5,5,8,11,1,4,6,6
2,2,1,2,1,1,1,1,,.,,,,,,,,
1,1,7,1,12,12,8,5,,.,,,,,,,,
6,6,6,6,2,1,5,3,,.,,,,,,,,
12,12,12,12,8,7,7,8,1,1989,1,1,2,12,6,8,5,6
12,1,11,1,2,1,6,1,,.,,,,,,,,
9,9,9,9,4,4,4,4,1,1978,4,3,5,7,4,3,3,3
12,6,8,6,4,2,4,3,1,1977,6,4,10,,,,,
8,7,7,10,1,5,2,1,1,1950,3,2,5,5,1,1,1,1
1,2,10,1,2,2,1,1,1,1964,2,2,9,8,1,3,1,1
7,7,6,7,5,9,8,5,2,1981,2,3,5,8,6,7,7,3
7,2,7,9,1,1,11,1,1,1939,4,3,7,4,1,1,4,1
8,1,11,11,2,2,9,6,1,1979,3,4,5,7,1,1,8,1
2,2,8,2,7,7,6,8,2,1973,1,2,4,12,12,8,8,7
8,4,9,9,1,10,7,10,1,1963,6,1,2,6,2,5,5,2
7,4,3,11,1,1,1,1,1,1982,4,1,5,10,1,1,1,1
8,8,11,8,3,3,4,1,1,1974,2,1,9,8,2,2,3,1
1,1,6,3,2,2,8,4,,.,,,,,,,,
8,12,12,12,8,8,1,6,2,1950,1,5,1,7,8,6,7,6
8,9,9,8,8,7,9,9,2,1964,4,1,7,7,3,5,5,2
8,10,8,11,1,1,7,1,2,1962,2,1,5,13,1,1,1,1
,,,,10,11,11,11,2,1945,3,2,11,9,11,11,11,11
1,1,2,1,1,1,1,1,,.,,,,,,,,
5,4,8,4,7,10,12,11,2,1948,6,1,9,13,8,11,7,8
7,7,10,7,12,12,7,12,2,1961,3,5,5,11,4,12,9,12
4,3,2,3,3,4,4,4,2,1986,4,4,10,3,6,8,4,7
6,1,6,6,6,11,11,6,2,1947,1,1,2,,,,,
1,1,11,1,1,1,1,1,,.,,,,,,,,
