date,cosp,comp,tot1,tot2,p_cosp,p_comp
"2016-10-01","0","0","533","533","0","0"
"2016-10-02","0","0","500","500","0","0"
"2016-10-03","0","0","728","728","0","0"
"2016-10-04","0","2","803","803","0","0.0024906600249066002"
"2016-10-05","0","0","701","701","0","0"
"2016-10-06","0","1","780","780","0","0.001282051282051282"
"2016-10-07","0","1","682","682","0","0.001466275659824047"
"2016-10-08","0","0","454","454","0","0"
"2016-10-09","0","1","430","430","0","0.002325581395348837"
"2016-10-10","0","1","663","663","0","0.0015082956259426848"
"2016-10-11","1","2","737","737","0.0013568521031207597","0.0027137042062415195"
"2016-10-12","0","1","707","707","0","0.0014144271570014145"
"2016-10-13","0","2","737","737","0","0.0027137042062415195"
"2016-10-14","1","1","703","703","0.001422475106685633","0.001422475106685633"
"2016-10-15","0","0","396","396","0","0"
"2016-10-16","0","1","451","451","0","0.0022172949002217295"
"2016-10-17","0","0","698","698","0","0"
"2016-10-18","0","0","776","776","0","0"
"2016-10-19","1","0","747","747","0.0013386880856760374","0"
"2016-10-20","0","1","784","784","0","0.0012755102040816326"
"2016-10-21","0","0","657","657","0","0"
"2016-10-22","0","1","432","432","0","0.0023148148148148147"
"2016-10-23","0","0","401","401","0","0"
"2016-10-24","0","1","651","651","0","0.0015360983102918587"
"2016-10-25","0","0","731","731","0","0"
"2016-10-26","0","3","728","728","0","0.004120879120879121"
"2016-10-27","0","2","619","619","0","0.0032310177705977385"
"2016-10-28","0","1","697","697","0","0.0014347202295552368"
"2016-10-29","0","1","438","438","0","0.00228310502283105"
"2016-10-30","0","4","461","461","0","0.008676789587852495"
"2016-10-31","0","0","586","586","0","0"
"2016-11-01","1","2","499","499","0.002004008016032064","0.004008016032064128"
"2016-11-02","0","1","694","694","0","0.001440922190201729"
"2016-11-03","0","0","787","787","0","0"
"2016-11-04","0","0","717","717","0","0"
"2016-11-05","1","1","428","428","0.002336448598130841","0.002336448598130841"
"2016-11-06","0","0","456","456","0","0"
"2016-11-07","0","2","705","705","0","0.0028368794326241137"
"2016-11-08","0","1","769","769","0","0.0013003901170351106"
"2016-11-09","0","3","839","839","0","0.003575685339690107"
"2016-11-10","2","3","785","785","0.0025477707006369425","0.003821656050955414"
"2016-11-11","0","3","715","715","0","0.004195804195804196"
"2016-11-12","1","0","453","453","0.002207505518763797","0"
"2016-11-13","0","1","384","384","0","0.0026041666666666665"
"2016-11-14","0","2","711","711","0","0.0028129395218002813"
"2016-11-15","0","1","765","765","0","0.00130718954248366"
"2016-11-16","0","3","670","670","0","0.004477611940298508"
"2016-11-17","0","2","718","718","0","0.002785515320334262"
"2016-11-18","2","0","672","672","0.002976190476190476","0"
"2016-11-19","0","1","366","366","0","0.00273224043715847"
"2016-11-20","0","0","346","346","0","0"
"2016-11-21","0","0","676","676","0","0"
"2016-11-22","1","0","673","673","0.0014858841010401188","0"
"2016-11-23","0","2","795","795","0","0.0025157232704402514"
"2016-11-24","0","2","702","702","0","0.002849002849002849"
"2016-11-25","0","1","652","652","0","0.0015337423312883436"
"2016-11-26","0","0","490","490","0","0"
"2016-11-27","0","2","416","416","0","0.004807692307692308"
