S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
1,4,1,4,2,2,8,2,2,1947,5,2,5,3,1,4,6,1,1,1,7,1,0,3,5,0,2.5,2,0,0,1,0,0,0,0,0,1,1,2,1,0,1,1,0,-1,2,-2,-1,1947,73,Media,Csx,1,4,1,4,2.5
8,5,3,8,1,1,2,1,2,1976,6,3,8,9,5,3,12,3,0,0,1,0,4,2,,2,0.25,,0,0,0,0,0,0,,0,0,0,1,0,1,1,,1,4,2,,2,1976,44,Alta,Cdx,8,5,3,8,6
12,12,12,12,12,12,12,12,1,1994,2,4,5,13,1,1,5,1,,,,,0,0,4,0,,1,,,,,0,0,0,0,,,,,0,0,1,0,,,,,1994,26,Media,NC,,,,,
7,7,6,7,3,8,5,6,1,1986,6,4,9,4,1,1,1,1,2,7,4,5,0,0,0,0,4.5,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,-2,-7,-4,-5,1986,34,Alta,Csx,7,7,6,7,6.75
4,5,7,6,1,1,1,1,1,1990,3,4,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,30,Media,Csx,4,5,7,6,5.5
4,3,6,4,6,7,8,7,2,1973,6,4,5,13,6,6,9,5,5,6,7,6,5,5,8,4,6,5.5,0,1,1,1,0,0,1,0,1,2,2,2,1,1,2,1,0,-1,1,-2,1973,47,Media,NC,4,3,6,4,4.25
1,1,9,1,11,1,11,1,2,1963,2,2,2,10,9,6,9,12,10,0,10,0,8,5,8,,5,,1,0,1,0,1,0,1,,2,0,2,0,2,1,2,,-2,5,-2,,1963,57,Bassa,Dx,1,1,9,1,3
2,2,9,10,1,1,3,1,1,1961,5,1,4,,,,,,0,0,2,0,,,,,0.5,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,1961,59,Media,,2,2,9,10,5.75
4,8,10,10,1,1,1,1,2,1945,6,1,9,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1945,75,Alta,,4,8,10,10,8
3,6,8,7,4,4,7,3,2,1947,5,2,4,6,3,1,5,1,3,3,6,2,2,0,4,0,3.5,1.5,0,0,1,0,0,0,0,0,1,1,2,1,1,0,1,0,-1,-3,-2,-2,1947,73,Media,C,3,6,8,7,6
